S/N,Location,Building Class,Floor Area (Sqm),Median Rent (Sqm),Reference Period
108,Central Area,Category 2,>1000,53.23,Q3 2014
109,Central Area,Category 2,>200 - 500,70.1,Q3 2014
110,Central Area,Category 2,>500 - 1000,75.93,Q3 2014
111,Central Area,Category 1,100 & Below,102.59,Q4 2014
112,Central Area,Category 1,>100 - 200,107.64,Q4 2014
113,Central Area,Category 1,>1000,107.64,Q4 2014
114,Central Area,Category 1,>200 - 500,110.32,Q4 2014
115,Central Area,Category 1,>500 - 1000,98.12,Q4 2014
116,Central Area,Category 2,100 & Below,62.97,Q4 2014
117,Central Area,Category 2,>100 - 200,66.89,Q4 2014
118,Central Area,Category 2,>1000,67.81,Q4 2014
119,Central Area,Category 2,>200 - 500,69.69,Q4 2014
120,Central Area,Category 2,>500 - 1000,75.34,Q4 2014
121,Central Area,Category 1,100 & Below,107.64,Q1 2015
122,Central Area,Category 1,>100 - 200,109.26,Q1 2015
123,Central Area,Category 1,>1000,99.84,Q1 2015
124,Central Area,Category 1,>200 - 500,116.25,Q1 2015
125,Central Area,Category 1,>500 - 1000,111.96,Q1 2015
126,Central Area,Category 2,100 & Below,65.42,Q1 2015
127,Central Area,Category 2,>100 - 200,70.5,Q1 2015
128,Central Area,Category 2,>1000,60.49,Q1 2015
129,Central Area,Category 2,>200 - 500,73.73,Q1 2015
130,Central Area,Category 2,>500 - 1000,81.98,Q1 2015
131,Central Area,Category 1,100 & Below,113.04,Q2 2015
132,Central Area,Category 1,>100 - 200,107.64,Q2 2015
133,Central Area,Category 1,>1000,96.88,Q2 2015
134,Central Area,Category 1,>200 - 500,102.25,Q2 2015
135,Central Area,Category 1,>500 - 1000,117.33,Q2 2015
136,Central Area,Category 2,100 & Below,61.84,Q2 2015
137,Central Area,Category 2,>100 - 200,69.98,Q2 2015
138,Central Area,Category 2,>1000,57.78,Q2 2015
139,Central Area,Category 2,>200 - 500,64.66,Q2 2015
140,Central Area,Category 2,>500 - 1000,70.97,Q2 2015
141,Central Area,Category 1,100 & Below,102.22,Q3 2015
142,Central Area,Category 1,>100 - 200,118.41,Q3 2015
143,Central Area,Category 1,>1000,100.11,Q3 2015
144,Central Area,Category 1,>200 - 500,113.55,Q3 2015
145,Central Area,Category 1,>500 - 1000,108.45,Q3 2015
146,Central Area,Category 2,100 & Below,60.84,Q3 2015
147,Central Area,Category 2,>100 - 200,64.24,Q3 2015
148,Central Area,Category 2,>1000,66.37,Q3 2015
149,Central Area,Category 2,>200 - 500,66.19,Q3 2015
150,Central Area,Category 2,>500 - 1000,75.78,Q3 2015
151,Central Area,Category 1,100 & Below,109.28,Q4 2015
152,Central Area,Category 1,>100 - 200,102.87,Q4 2015
153,Central Area,Category 1,>1000,109.79,Q4 2015
154,Central Area,Category 1,>200 - 500,116.25,Q4 2015
155,Central Area,Category 1,>500 - 1000,112.05,Q4 2015
156,Central Area,Category 2,100 & Below,59.31,Q4 2015
157,Central Area,Category 2,>100 - 200,62.45,Q4 2015
158,Central Area,Category 2,>1000,67.25,Q4 2015
159,Central Area,Category 2,>200 - 500,66.74,Q4 2015
160,Central Area,Category 2,>500 - 1000,64.58,Q4 2015
161,Central Area,Category 1,100 & Below,101.69,Q1 2016
162,Central Area,Category 1,>100 - 200,102.28,Q1 2016
163,Central Area,Category 1,>1000,98.19,Q1 2016
164,Central Area,Category 1,>200 - 500,99.11,Q1 2016
165,Central Area,Category 1,>500 - 1000,99.56,Q1 2016
166,Central Area,Category 2,100 & Below,58.98,Q1 2016
167,Central Area,Category 2,>100 - 200,61.54,Q1 2016
168,Central Area,Category 2,>1000,64.91,Q1 2016
169,Central Area,Category 2,>200 - 500,69.96,Q1 2016
170,Central Area,Category 2,>500 - 1000,67.55,Q1 2016
171,Central Area,Category 1,100 & Below,106.57,Q2 2016
172,Central Area,Category 1,>100 - 200,105.48,Q2 2016
173,Central Area,Category 1,>1000,99.56,Q2 2016
174,Central Area,Category 1,>200 - 500,107.75,Q2 2016
175,Central Area,Category 1,>500 - 1000,94.72,Q2 2016
176,Central Area,Category 2,100 & Below,58.57,Q2 2016
177,Central Area,Category 2,>100 - 200,62.41,Q2 2016
178,Central Area,Category 2,>1000,70.66,Q2 2016
179,Central Area,Category 2,>200 - 500,61.35,Q2 2016
180,Central Area,Category 2,>500 - 1000,62.43,Q2 2016
181,Central Area,Category 1,100 & Below,94.16,Q3 2016
182,Central Area,Category 1,>100 - 200,102.24,Q3 2016
183,Central Area,Category 1,>1000,92.57,Q3 2016
184,Central Area,Category 1,>200 - 500,108.65,Q3 2016
185,Central Area,Category 1,>500 - 1000,99.03,Q3 2016
186,Central Area,Category 2,100 & Below,59.2,Q3 2016
187,Central Area,Category 2,>100 - 200,63.1,Q3 2016
188,Central Area,Category 2,>1000,91.5,Q3 2016
189,Central Area,Category 2,>200 - 500,61.89,Q3 2016
190,Central Area,Category 2,>500 - 1000,70.05,Q3 2016
191,Central Area,Category 1,100 & Below,89.93,Q4 2016
192,Central Area,Category 1,>100 - 200,83.8,Q4 2016
193,Central Area,Category 1,>1000,90.17,Q4 2016
194,Central Area,Category 1,>200 - 500,104.96,Q4 2016
195,Central Area,Category 1,>500 - 1000,99.57,Q4 2016
196,Central Area,Category 2,100 & Below,59.16,Q4 2016
197,Central Area,Category 2,>100 - 200,57.82,Q4 2016
198,Central Area,Category 2,>1000,58.49,Q4 2016
199,Central Area,Category 2,>200 - 500,61.35,Q4 2016
200,Central Area,Category 2,>500 - 1000,61.54,Q4 2016
201,Central Area,Category 1,100 & Below,96.86,Q1 2017
202,Central Area,Category 1,>100 - 200,95.8,Q1 2017
